track_index,track_id,path,eastern_label,eastern_genre,predicted_western_label,predicted_western_genre,cluster_raw_mert,cluster_mlp_pooled,cluster_mlp_penultimate
0,0,datasets/audios/eastern_sliced/carnatic/carnatic_000_000.wav,0,carnatic,5,jazz,3,3,4
1,1,datasets/audios/eastern_sliced/carnatic/carnatic_000_001.wav,0,carnatic,4,hiphop,3,3,4
2,2,datasets/audios/eastern_sliced/carnatic/carnatic_000_002.wav,0,carnatic,5,jazz,3,3,4
3,3,datasets/audios/eastern_sliced/carnatic/carnatic_000_003.wav,0,carnatic,4,hiphop,3,3,4
4,4,datasets/audios/eastern_sliced/carnatic/carnatic_000_004.wav,0,carnatic,4,hiphop,3,3,4
5,5,datasets/audios/eastern_sliced/carnatic/carnatic_001_000.wav,0,carnatic,4,hiphop,3,3,4
6,6,datasets/audios/eastern_sliced/carnatic/carnatic_001_001.wav,0,carnatic,4,hiphop,3,3,4
7,7,datasets/audios/eastern_sliced/carnatic/carnatic_001_002.wav,0,carnatic,5,jazz,3,3,4
8,8,datasets/audios/eastern_sliced/carnatic/carnatic_001_003.wav,0,carnatic,4,hiphop,3,3,4
9,9,datasets/audios/eastern_sliced/carnatic/carnatic_001_004.wav,0,carnatic,4,hiphop,3,3,4
10,10,datasets/audios/eastern_sliced/carnatic/carnatic_002_000.wav,0,carnatic,2,country,7,7,1
11,11,datasets/audios/eastern_sliced/carnatic/carnatic_002_001.wav,0,carnatic,2,country,3,3,4
12,12,datasets/audios/eastern_sliced/carnatic/carnatic_002_002.wav,0,carnatic,2,country,3,3,1
13,13,datasets/audios/eastern_sliced/carnatic/carnatic_002_003.wav,0,carnatic,5,jazz,7,7,0
14,14,datasets/audios/eastern_sliced/carnatic/carnatic_002_004.wav,0,carnatic,1,classical,7,7,3
15,15,datasets/audios/eastern_sliced/carnatic/carnatic_003_000.wav,0,carnatic,4,hiphop,3,3,4
16,16,datasets/audios/eastern_sliced/carnatic/carnatic_003_001.wav,0,carnatic,4,hiphop,3,3,4
17,17,datasets/audios/eastern_sliced/carnatic/carnatic_003_002.wav,0,carnatic,4,hiphop,3,3,4
18,18,datasets/audios/eastern_sliced/carnatic/carnatic_003_003.wav,0,carnatic,5,jazz,3,3,0
19,19,datasets/audios/eastern_sliced/carnatic/carnatic_003_004.wav,0,carnatic,5,jazz,3,3,4
20,20,datasets/audios/eastern_sliced/carnatic/carnatic_004_000.wav,0,carnatic,5,jazz,3,3,4
21,21,datasets/audios/eastern_sliced/carnatic/carnatic_004_001.wav,0,carnatic,0,blues,3,3,4
22,22,datasets/audios/eastern_sliced/carnatic/carnatic_004_002.wav,0,carnatic,4,hiphop,3,3,4
23,23,datasets/audios/eastern_sliced/carnatic/carnatic_004_003.wav,0,carnatic,4,hiphop,3,3,4
24,24,datasets/audios/eastern_sliced/carnatic/carnatic_004_004.wav,0,carnatic,5,jazz,3,3,4
25,25,datasets/audios/eastern_sliced/carnatic/carnatic_005_000.wav,0,carnatic,4,hiphop,3,3,4
26,26,datasets/audios/eastern_sliced/carnatic/carnatic_005_001.wav,0,carnatic,4,hiphop,3,3,4
27,27,datasets/audios/eastern_sliced/carnatic/carnatic_005_002.wav,0,carnatic,4,hiphop,0,0,4
28,28,datasets/audios/eastern_sliced/carnatic/carnatic_005_003.wav,0,carnatic,8,reggae,5,5,2
29,29,datasets/audios/eastern_sliced/carnatic/carnatic_005_004.wav,0,carnatic,4,hiphop,0,0,2
30,30,datasets/audios/eastern_sliced/carnatic/carnatic_006_000.wav,0,carnatic,5,jazz,7,7,0
31,31,datasets/audios/eastern_sliced/carnatic/carnatic_006_001.wav,0,carnatic,5,jazz,3,3,4
32,32,datasets/audios/eastern_sliced/carnatic/carnatic_006_002.wav,0,carnatic,4,hiphop,3,3,4
33,33,datasets/audios/eastern_sliced/carnatic/carnatic_006_003.wav,0,carnatic,5,jazz,0,0,4
34,34,datasets/audios/eastern_sliced/carnatic/carnatic_006_004.wav,0,carnatic,4,hiphop,3,3,4
35,35,datasets/audios/eastern_sliced/carnatic/carnatic_007_000.wav,0,carnatic,2,country,3,3,4
36,36,datasets/audios/eastern_sliced/carnatic/carnatic_007_001.wav,0,carnatic,4,hiphop,3,3,4
37,37,datasets/audios/eastern_sliced/carnatic/carnatic_007_002.wav,0,carnatic,4,hiphop,0,0,4
38,38,datasets/audios/eastern_sliced/carnatic/carnatic_007_003.wav,0,carnatic,0,blues,3,3,4
39,39,datasets/audios/eastern_sliced/carnatic/carnatic_007_004.wav,0,carnatic,4,hiphop,0,0,4
40,40,datasets/audios/eastern_sliced/carnatic/carnatic_008_000.wav,0,carnatic,2,country,3,3,4
41,41,datasets/audios/eastern_sliced/carnatic/carnatic_008_001.wav,0,carnatic,2,country,3,3,4
42,42,datasets/audios/eastern_sliced/carnatic/carnatic_009_000.wav,0,carnatic,5,jazz,0,0,4
43,43,datasets/audios/eastern_sliced/carnatic/carnatic_009_001.wav,0,carnatic,4,hiphop,0,0,2
44,44,datasets/audios/eastern_sliced/carnatic/carnatic_009_002.wav,0,carnatic,4,hiphop,0,0,2
45,45,datasets/audios/eastern_sliced/carnatic/carnatic_009_003.wav,0,carnatic,4,hiphop,0,0,2
46,46,datasets/audios/eastern_sliced/carnatic/carnatic_009_004.wav,0,carnatic,4,hiphop,0,0,2
47,47,datasets/audios/eastern_sliced/carnatic/carnatic_010_000.wav,0,carnatic,7,pop,0,0,0
48,48,datasets/audios/eastern_sliced/carnatic/carnatic_010_001.wav,0,carnatic,7,pop,0,0,0
49,49,datasets/audios/eastern_sliced/carnatic/carnatic_010_002.wav,0,carnatic,4,hiphop,0,0,2
50,50,datasets/audios/eastern_sliced/carnatic/carnatic_010_003.wav,0,carnatic,4,hiphop,0,0,4
51,51,datasets/audios/eastern_sliced/carnatic/carnatic_010_004.wav,0,carnatic,4,hiphop,0,0,4
52,52,datasets/audios/eastern_sliced/carnatic/carnatic_011_000.wav,0,carnatic,5,jazz,7,7,0
53,53,datasets/audios/eastern_sliced/carnatic/carnatic_011_001.wav,0,carnatic,1,classical,6,6,0
54,54,datasets/audios/eastern_sliced/carnatic/carnatic_011_002.wav,0,carnatic,4,hiphop,0,0,2
55,55,datasets/audios/eastern_sliced/carnatic/carnatic_011_003.wav,0,carnatic,4,hiphop,0,0,2
56,56,datasets/audios/eastern_sliced/carnatic/carnatic_011_004.wav,0,carnatic,1,classical,0,0,0
57,57,datasets/audios/eastern_sliced/carnatic/carnatic_012_000.wav,0,carnatic,9,rock,0,0,3
58,58,datasets/audios/eastern_sliced/carnatic/carnatic_012_001.wav,0,carnatic,9,rock,0,0,3
59,59,datasets/audios/eastern_sliced/carnatic/carnatic_012_002.wav,0,carnatic,1,classical,0,0,3
60,60,datasets/audios/eastern_sliced/carnatic/carnatic_012_003.wav,0,carnatic,1,classical,4,4,3
61,61,datasets/audios/eastern_sliced/carnatic/carnatic_012_004.wav,0,carnatic,4,hiphop,0,0,2
62,62,datasets/audios/eastern_sliced/carnatic/carnatic_013_000.wav,0,carnatic,2,country,0,0,1
63,63,datasets/audios/eastern_sliced/carnatic/carnatic_013_001.wav,0,carnatic,4,hiphop,0,0,2
64,64,datasets/audios/eastern_sliced/carnatic/carnatic_013_002.wav,0,carnatic,4,hiphop,0,0,2
65,65,datasets/audios/eastern_sliced/carnatic/carnatic_013_003.wav,0,carnatic,4,hiphop,0,0,2
66,66,datasets/audios/eastern_sliced/carnatic/carnatic_013_004.wav,0,carnatic,4,hiphop,0,0,2
67,67,datasets/audios/eastern_sliced/carnatic/carnatic_014_000.wav,0,carnatic,1,classical,6,6,5
68,68,datasets/audios/eastern_sliced/carnatic/carnatic_014_001.wav,0,carnatic,1,classical,6,6,5
69,69,datasets/audios/eastern_sliced/carnatic/carnatic_014_002.wav,0,carnatic,4,hiphop,0,0,2
70,70,datasets/audios/eastern_sliced/carnatic/carnatic_014_003.wav,0,carnatic,9,rock,0,0,2
71,71,datasets/audios/eastern_sliced/carnatic/carnatic_014_004.wav,0,carnatic,9,rock,0,0,2
72,72,datasets/audios/eastern_sliced/carnatic/carnatic_015_000.wav,0,carnatic,4,hiphop,0,0,0
73,73,datasets/audios/eastern_sliced/carnatic/carnatic_015_001.wav,0,carnatic,7,pop,0,0,0
74,74,datasets/audios/eastern_sliced/carnatic/carnatic_015_002.wav,0,carnatic,4,hiphop,0,0,2
75,75,datasets/audios/eastern_sliced/carnatic/carnatic_015_003.wav,0,carnatic,4,hiphop,0,0,0
76,76,datasets/audios/eastern_sliced/carnatic/carnatic_015_004.wav,0,carnatic,1,classical,0,0,5
77,77,datasets/audios/eastern_sliced/carnatic/carnatic_016_000.wav,0,carnatic,7,pop,7,7,0
78,78,datasets/audios/eastern_sliced/carnatic/carnatic_016_001.wav,0,carnatic,1,classical,7,7,0
79,79,datasets/audios/eastern_sliced/carnatic/carnatic_016_002.wav,0,carnatic,4,hiphop,0,0,2
