feature_index,path,label,label_id,duration_seconds,processed_seconds,skipped_tail_seconds,source_sample_rate,target_sample_rate,num_chunks
0,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00000.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
1,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00001.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
2,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00002.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
3,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00003.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
4,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00004.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
5,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00005.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
6,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00006.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
7,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00007.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
8,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00008.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
9,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00009.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
10,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00010.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
11,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00011.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
12,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00012.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
13,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00013.wav,blues,0,30.013333333333332,30.0,0.013333333333333334,22050,24000,1
