feature_index,path,label,class_name,original_label,track_id,segment_index,region
0,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00000.wav,0,blues,0,0,0,western
1,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00001.wav,0,blues,0,1,0,western
2,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00002.wav,0,blues,0,2,0,western
3,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00003.wav,0,blues,0,3,0,western
4,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00004.wav,0,blues,0,4,0,western
5,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00005.wav,0,blues,0,5,0,western
6,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00006.wav,0,blues,0,6,0,western
7,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00007.wav,0,blues,0,7,0,western
8,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00008.wav,0,blues,0,8,0,western
9,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00009.wav,0,blues,0,9,0,western
10,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00010.wav,0,blues,0,10,0,western
11,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00011.wav,0,blues,0,11,0,western
12,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00012.wav,0,blues,0,12,0,western
13,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00013.wav,0,blues,0,13,0,western
14,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00014.wav,0,blues,0,14,0,western
15,/home/dt2119/dt2119/music_classification/datasets/audios/western_data/genres_original/blues/blues.00015.wav,0,blues,0,15,0,western
